date,value,basin,zone,variable
1895-01,15.255035619213025,Blanco,Contributing,pet
1895-02,5.077233969483036,Blanco,Contributing,pet
1895-03,44.99811296554735,Blanco,Contributing,pet
1895-04,79.63048936998533,Blanco,Contributing,pet
1895-05,101.31126285040231,Blanco,Contributing,pet
1895-06,142.75091727305053,Blanco,Contributing,pet
1895-07,174.6244068068388,Blanco,Contributing,pet
1895-08,169.06016449311272,Blanco,Contributing,pet
1895-09,130.5461944740874,Blanco,Contributing,pet
1895-10,61.179863605267926,Blanco,Contributing,pet
1895-11,26.542599361999137,Blanco,Contributing,pet
1895-12,17.399517518549526,Blanco,Contributing,pet
1896-01,13.598961932449733,Blanco,Contributing,pet
1896-02,19.60834784939275,Blanco,Contributing,pet
1896-03,35.63197913989716,Blanco,Contributing,pet
1896-04,74.3816405851583,Blanco,Contributing,pet
1896-05,143.2402701180451,Blanco,Contributing,pet
1896-06,176.25471338680757,Blanco,Contributing,pet
1896-07,180.90035511853725,Blanco,Contributing,pet
1896-08,177.7967675372791,Blanco,Contributing,pet
1896-09,122.43600860072226,Blanco,Contributing,pet
1896-10,58.35394558136593,Blanco,Contributing,pet
1896-11,34.75231262551966,Blanco,Contributing,pet
1896-12,17.77289868598753,Blanco,Contributing,pet
1897-01,7.583994487669228,Blanco,Contributing,pet
1897-02,23.98179430547664,Blanco,Contributing,pet
1897-03,56.8315970921155,Blanco,Contributing,pet
1897-04,64.82682020210609,Blanco,Contributing,pet
1897-05,111.31176142664094,Blanco,Contributing,pet
1897-06,153.33811267835236,Blanco,Contributing,pet
1897-07,185.92105958430554,Blanco,Contributing,pet
1897-08,163.6584634432706,Blanco,Contributing,pet
1897-09,110.91907398368835,Blanco,Contributing,pet
1897-10,81.39043252752796,Blanco,Contributing,pet
1897-11,39.899733365547306,Blanco,Contributing,pet
1897-12,11.604480064816391,Blanco,Contributing,pet
1898-01,21.519187556014433,Blanco,Contributing,pet
1898-02,28.06493657988031,Blanco,Contributing,pet
1898-03,44.656347630794755,Blanco,Contributing,pet
1898-04,65.35612507399976,Blanco,Contributing,pet
1898-05,122.12578193544026,Blanco,Contributing,pet
1898-06,154.7489212887143,Blanco,Contributing,pet
1898-07,177.34809607741698,Blanco,Contributing,pet
1898-08,162.8222323457152,Blanco,Contributing,pet
1898-09,117.43502840618527,Blanco,Contributing,pet
1898-10,64.31412267557552,Blanco,Contributing,pet
1898-11,21.92771548285892,Blanco,Contributing,pet
1898-12,7.1794770070037695,Blanco,Contributing,pet
1899-01,11.618213703123146,Blanco,Contributing,pet
1899-02,4.194735757227695,Blanco,Contributing,pet
1899-03,48.90919616531438,Blanco,Contributing,pet
1899-04,65.53677016808061,Blanco,Contributing,pet
1899-05,135.47752226141523,Blanco,Contributing,pet
1899-06,147.80781601959384,Blanco,Contributing,pet
1899-07,169.65082911851954,Blanco,Contributing,pet
1899-08,185.42223585155625,Blanco,Contributing,pet
1899-09,111.17200285379411,Blanco,Contributing,pet
1899-10,81.44767926178525,Blanco,Contributing,pet
1899-11,34.32130781879895,Blanco,Contributing,pet
1899-12,13.847549714490327,Blanco,Contributing,pet
1900-01,16.119695844283374,Blanco,Contributing,pet
1900-02,16.862209570539434,Blanco,Contributing,pet
1900-03,38.49219091832043,Blanco,Contributing,pet
1900-04,63.190027296728545,Blanco,Contributing,pet
1900-05,106.26637494164846,Blanco,Contributing,pet
1900-06,163.89247077475136,Blanco,Contributing,pet
1900-07,163.66159795982082,Blanco,Contributing,pet
1900-08,152.19944772746226,Blanco,Contributing,pet
1900-09,126.8253044830785,Blanco,Contributing,pet
1900-10,77.26282656031992,Blanco,Contributing,pet
1900-11,32.84524912060863,Blanco,Contributing,pet
1900-12,13.824772363034253,Blanco,Contributing,pet
1901-01,18.53856710903059,Blanco,Contributing,pet
1901-02,10.917180861299332,Blanco,Contributing,pet
1901-03,36.9886358033089,Blanco,Contributing,pet
1901-04,58.07995366641421,Blanco,Contributing,pet
1901-05,109.25038491716053,Blanco,Contributing,pet
1901-06,157.17385837217617,Blanco,Contributing,pet
1901-07,180.08420048449472,Blanco,Contributing,pet
1901-08,178.38379769128906,Blanco,Contributing,pet
1901-09,113.27268919927455,Blanco,Contributing,pet
1901-10,75.93815509284758,Blanco,Contributing,pet
1901-11,35.44955443365845,Blanco,Contributing,pet
1901-12,13.352771787612026,Blanco,Contributing,pet
1902-01,10.326665090765903,Blanco,Contributing,pet
1902-02,13.588795225706187,Blanco,Contributing,pet
1902-03,43.6448435880395,Blanco,Contributing,pet
1902-04,88.9212986365882,Blanco,Contributing,pet
1902-05,134.4994375576304,Blanco,Contributing,pet
1902-06,172.3168765707044,Blanco,Contributing,pet
1902-07,175.95062917630972,Blanco,Contributing,pet
1902-08,181.55619816464332,Blanco,Contributing,pet
1902-09,114.85117516648808,Blanco,Contributing,pet
1902-10,63.80318097839659,Blanco,Contributing,pet
1902-11,41.24477955541418,Blanco,Contributing,pet
1902-12,14.993082564205423,Blanco,Contributing,pet
1903-01,14.473112636817584,Blanco,Contributing,pet
1903-02,13.211403685442665,Blanco,Contributing,pet
1903-03,39.33766976280247,Blanco,Contributing,pet
1903-04,68.85729283494877,Blanco,Contributing,pet
1903-05,105.12823209070403,Blanco,Contributing,pet
1903-06,125.73706331610607,Blanco,Contributing,pet
1903-07,155.20419644379916,Blanco,Contributing,pet
1903-08,152.7613056499118,Blanco,Contributing,pet
1903-09,109.11740621216487,Blanco,Contributing,pet
1903-10,65.45953201368066,Blanco,Contributing,pet
1903-11,32.72855006548901,Blanco,Contributing,pet
1903-12,19.9510088948446,Blanco,Contributing,pet
1904-01,10.700313266592458,Blanco,Contributing,pet
1904-02,27.389498875449668,Blanco,Contributing,pet
1904-03,63.68813845493393,Blanco,Contributing,pet
1904-04,70.08153073668024,Blanco,Contributing,pet
1904-05,102.91339029754238,Blanco,Contributing,pet
1904-06,140.68971455359005,Blanco,Contributing,pet
1904-07,159.50555458094988,Blanco,Contributing,pet
1904-08,152.8415808930992,Blanco,Contributing,pet
1904-09,123.37693866027861,Blanco,Contributing,pet
1904-10,72.79333052494731,Blanco,Contributing,pet
1904-11,30.238418171249187,Blanco,Contributing,pet
1904-12,14.615137137041339,Blanco,Contributing,pet
1905-01,10.673061842032608,Blanco,Contributing,pet
1905-02,3.313864180147006,Blanco,Contributing,pet
1905-03,52.75576253549307,Blanco,Contributing,pet
1905-04,66.06270236119732,Blanco,Contributing,pet
1905-05,128.17941783540806,Blanco,Contributing,pet
1905-06,153.83602860578839,Blanco,Contributing,pet
1905-07,158.81286818699388,Blanco,Contributing,pet
1905-08,174.62652820233873,Blanco,Contributing,pet
1905-09,129.92375384342776,Blanco,Contributing,pet
1905-10,75.19314839228188,Blanco,Contributing,pet
1905-11,40.3847759233991,Blanco,Contributing,pet
1905-12,7.225240929762774,Blanco,Contributing,pet
1906-01,14.05738927683593,Blanco,Contributing,pet
1906-02,12.946398540251332,Blanco,Contributing,pet
1906-03,28.57465312794265,Blanco,Contributing,pet
1906-04,71.31153329693292,Blanco,Contributing,pet
1906-05,116.501886355313,Blanco,Contributing,pet
1906-06,172.00825349011268,Blanco,Contributing,pet
1906-07,168.33408166961175,Blanco,Contributing,pet
1906-08,157.7798610930256,Blanco,Contributing,pet
1906-09,124.572874884376,Blanco,Contributing,pet
1906-10,52.96235678907856,Blanco,Contributing,pet
1906-11,32.963922527403604,Blanco,Contributing,pet
1906-12,27.293753303024527,Blanco,Contributing,pet
1907-01,31.50541604781005,Blanco,Contributing,pet
1907-02,24.65895086898662,Blanco,Contributing,pet
1907-03,79.35949187972152,Blanco,Contributing,pet
1907-04,66.07191673989261,Blanco,Contributing,pet
1907-05,85.2816176920993,Blanco,Contributing,pet
1907-06,153.9819781756663,Blanco,Contributing,pet
1907-07,166.00999390207545,Blanco,Contributing,pet
1907-08,178.59383707063046,Blanco,Contributing,pet
1907-09,128.25977340297177,Blanco,Contributing,pet
1907-10,73.37195865474995,Blanco,Contributing,pet
1907-11,19.70303901408698,Blanco,Contributing,pet
1907-12,14.813156866980757,Blanco,Contributing,pet
